"","JLKMOVE","JHSPRBQ","JHSCANB","JHSCNTB","JHSCAND","JHSCNTD","JHSCANF","JLFSATO"
"8013",2,2,"YES",NA,"NO",1,1,4
"8014",1,2,"YES",NA,"NO",1,1,3
"8015",2,2,"YES",NA,"YES",NA,1,6
"8016",2,2,"YES",NA,"YES",NA,1,6
"8017",1,1,"YES",NA,"YES",NA,1,NA
"8018",1,2,"YES",NA,"YES",NA,2,3
"8019",1,2,"YES",NA,"YES",NA,2,5
"8020",2,1,"NO",2,"YES",NA,2,NA
"8021",2,2,"YES",NA,"YES",NA,1,7
"8022",1,2,"YES",NA,"YES",NA,1,6
"8023",1,2,"YES",NA,"YES",NA,1,6
"8024",2,2,"YES",NA,"YES",NA,1,6
"8025",1,2,"YES",NA,"YES",NA,2,5
"8026",1,2,"YES",NA,"YES",NA,1,3
"8027",2,2,"YES",NA,"YES",NA,1,4
"8028",2,2,"NO",1,"NO",1,1,4
"8029",1,2,"YES",NA,"YES",NA,1,6
"8030",1,2,"YES",NA,"YES",NA,1,6
"8031",1,2,"YES",NA,"YES",NA,1,5
"8032",1,2,"YES",NA,"YES",NA,1,6
"8033",1,2,"YES",NA,"YES",NA,1,5
"8034",1,2,"YES",NA,"YES",NA,1,5
"8035",1,2,"YES",NA,"YES",NA,1,6
"8036",2,2,"YES",NA,NA,NA,1,6
"8037",2,2,"YES",NA,NA,NA,1,3
"8038",1,1,"YES",NA,"NO",2,2,4
"8039",1,2,"YES",NA,"YES",NA,1,5
"8040",2,2,"YES",NA,"YES",NA,1,6
"8041",2,2,"YES",NA,"YES",NA,1,5
"8042",2,2,"YES",NA,"YES",NA,1,5
"8043",2,2,"YES",NA,"YES",NA,1,6
"8044",2,2,"YES",NA,"YES",NA,1,5
"8045",1,2,"YES",NA,"YES",NA,1,6
"8046",1,2,"YES",NA,"YES",NA,1,6
"8047",2,2,"YES",NA,"YES",NA,1,7
"8048",1,2,"YES",NA,"YES",NA,1,5
"8049",1,2,"YES",NA,"YES",NA,1,4
"8050",2,2,"YES",NA,"YES",NA,1,4
"8051",1,1,"NO",2,"YES",NA,1,NA
"8052",2,1,"NO",1,"YES",NA,1,4
"8053",1,2,"YES",NA,"YES",NA,1,7
"8054",1,2,"YES",NA,"YES",NA,1,7
